9400,0.16,0.64,0.12
18800,0.03,0.67,0.06
28200,-0.03,0.65,0.01
37600,-0.07,0.86,-0.06
47000,-0.11,0.86,-0.06
56400,-0.12,0.87,-0.05
65800,-0.01,0.82,0.00
75200,-0.04,0.87,0.05
84600,-0.11,0.85,0.05
94000,-0.10,0.96,0.00
103400,-0.05,0.82,0.04
112800,-0.15,0.70,-0.02
122200,-0.05,0.74,-0.01
131600,-0.04,0.50,-0.01
141000,-0.11,0.52,-0.02
150400,-0.06,0.48,-0.05
159800,-0.11,0.46,-0.07
169200,-0.16,0.43,-0.03
178600,-0.10,0.34,-0.09
188000,-0.13,0.24,-0.10
197400,-0.18,0.14,-0.12
206800,-0.14,0.08,-0.12
216200,-0.19,0.02,-0.12
225600,-0.20,-0.06,-0.18
235000,-0.15,-0.16,-0.20
244400,-0.24,-0.23,-0.17
253800,-0.24,-0.28,-0.21
263200,-0.19,-0.34,-0.21
272600,-0.26,-0.41,-0.22
282000,-0.27,-0.47,-0.27
291400,-0.27,-0.52,-0.26
300792,-0.33,-0.60,-0.27
310200,-0.33,-0.66,-0.31
319592,-0.32,-0.73,-0.30
328992,-0.37,-0.81,-0.30
338400,-0.31,-0.88,-0.28
347792,-0.35,-0.92,-0.30
357192,-0.38,-0.99,-0.30
366592,-0.38,-1.04,-0.33
375992,-0.41,-1.10,-0.32
385392,-0.43,-1.16,-0.31
394792,-0.43,-1.21,-0.32
404192,-0.46,-1.26,-0.33
413592,-0.63,-1.34,-0.43
422992,-0.45,-1.37,-0.31
432392,-0.44,-1.43,-0.32
441792,-0.45,-1.44,-0.32
451192,-0.43,-1.43,-0.29
460592,-0.42,-1.47,-0.29
469992,-0.42,-1.54,-0.29
479392,-0.40,-1.58,-0.27
488792,-0.38,-1.60,-0.26
498192,-0.35,-1.66,-0.26
507592,-0.31,-1.72,-0.27
516992,-0.30,-1.79,-0.29
526392,-0.26,-1.86,-0.28
535792,-0.21,-1.90,-0.30
545192,-0.18,-1.96,-0.32
554592,-0.14,-2.02,-0.33
563992,-0.10,-2.06,-0.33
573392,-0.07,-2.09,-0.33
582792,-0.02,-2.14,-0.33
592192,0.01,-2.21,-0.33
601592,0.04,-2.27,-0.33
610992,0.08,-2.30,-0.33
620392,0.11,-2.35,-0.33
629792,0.13,-2.41,-0.32
639192,0.17,-2.45,-0.31
648592,0.19,-2.49,-0.30
657992,0.22,-2.52,-0.30
667392,0.26,-2.55,-0.28
676792,0.28,-2.56,-0.26
686192,0.32,-2.56,-0.23
695592,0.35,-2.59,-0.22
704992,0.33,-2.63,-0.21
714392,0.34,-2.64,-0.22
723792,0.36,-2.68,-0.14
733192,0.38,-2.71,-0.11
742592,0.37,-2.76,-0.08
751992,0.32,-2.81,-0.04
761392,0.33,-2.85,0.01
770792,0.28,-2.91,0.03
780192,0.26,-2.96,0.07
789592,0.26,-3.00,0.09
798992,0.22,-3.04,0.12
808392,0.22,-3.09,0.15
817792,0.20,-3.13,0.16
827192,0.14,-3.17,0.21
836592,0.13,-3.23,0.21
845992,0.09,-3.28,0.22
855392,0.07,-3.34,0.25
864792,0.06,-3.37,0.25
874192,0.02,-3.41,0.26
883592,0.03,-3.45,0.27
892992,0.02,-3.51,0.26
902392,-0.00,-3.57,0.28
911792,0.00,-3.63,0.27
921192,-0.02,-3.71,0.24
930592,-0.06,-3.75,0.24
939992,-0.04,-3.77,0.20
949392,-0.05,-3.81,0.20
958792,-0.05,-3.86,0.21
968192,-0.03,-3.88,0.17
977592,-0.04,-3.91,0.16
986992,-0.05,-3.94,0.13
996392,-0.03,-3.97,0.07
1005792,-0.05,-4.00,0.05
1015192,-0.04,-4.03,0.03
1024592,-0.05,-4.05,-0.02
1033992,-0.07,-4.08,-0.02
1043392,-0.07,-4.12,-0.05
1052792,-0.09,-4.16,-0.07
1062192,-0.07,-4.17,-0.07
1071592,-0.06,-4.17,-0.09
1080992,-0.04,-4.16,-0.09
1090392,-0.01,-4.16,-0.08
1099792,-0.00,-4.16,-0.08
1109192,0.00,-4.14,-0.06
1118592,0.04,-4.14,-0.04
1127992,0.04,-4.15,-0.05
1137392,0.06,-4.14,-0.02
1146792,0.08,-4.14,-0.01
1156192,0.09,-4.16,0.00
1165592,0.12,-4.17,0.04
1174992,0.13,-4.19,0.05
1184392,0.13,-4.19,0.08
1193792,0.15,-4.21,0.09
1203192,0.15,-4.25,0.11
1212592,0.16,-4.26,0.12
1221984,0.16,-4.28,0.12
1231384,0.15,-4.31,0.11
1240784,0.15,-4.34,0.12
1250192,0.13,-4.35,0.11
1259584,0.09,-4.37,0.11
1268984,0.07,-4.40,0.10
1278384,0.03,-4.44,0.08
1287784,0.02,-4.45,0.10
1297184,0.00,-4.45,0.09
1306584,-0.01,-4.48,0.08
1315984,-0.03,-4.49,0.11
1325384,-0.06,-4.51,0.12
1334784,-0.08,-4.53,0.11
1344184,-0.06,-4.53,0.15
1353584,-0.06,-4.51,0.15
